aspect,negative,neutral,positive,total
Absolutely amazing quality,0,0,3,3
so many different configurations,0,0,3,3
bluetooth playing,0,3,0,3
laptop/cords/charger,0,3,0,3
large and stable design.<br />2,0,0,3,3
laptop/chicklet style keys,0,0,3,3
Its not the head phones,0,3,0,3
last year's model,0,2,1,3
larger so larger devices,0,3,0,3
larger bezels,3,0,0,3
Its perfect performance,0,0,3,3
larger and more expensive cameras,0,3,0,3
large traditional headphones,3,0,0,3
"Its small, sleek, and data transfer",0,0,3,3
large storage capacity,1,1,1,3
any drive manufacturer,0,3,0,3
any docking functionality,3,0,0,3
so many better video cameras,3,0,0,3
"so far, no complaints",0,0,3,3
Its basically a radio,0,3,0,3
Its connectivity,0,3,0,3
bluetooth function,2,0,1,3
bluetooth funcionality,3,0,0,3
Its great quality,0,0,3,3
length and very light weight,0,3,0,3
latest firmwares,0,3,0,3
leather.<br /><br />The keyboard,3,0,0,3
Its features,1,0,2,3
any ear phone,0,3,0,3
any electronic help,0,3,0,3
smartphonea,0,3,0,3
smart phone right,0,3,0,3
Its a perfect laptop,0,0,3,3
Its a nice size,0,0,3,3
less sturdiness,3,0,0,3
Its a pretty nice display,0,0,3,3
Its a tablet,0,0,3,3
less natural quality,3,0,0,3
Its compact,0,1,2,3
Its accuracy,3,0,0,3
lesser storage space,0,3,0,3
Its a good sturdy case,0,0,3,3
less than 850nm,0,3,0,3
less than 2gb,0,3,0,3
less than 20 hours use,0,3,0,3
Its a great size,0,0,3,3
Its a great router,0,0,3,3
Activity options,3,0,0,3
about 6GB,3,0,0,3
about 8 MB/s write speed,0,3,0,3
smaller device,0,0,3,3
smaller phones&#34,0,3,0,3
Aduro Samsung Galaxy Tablet Extra Long USB Charge,0,3,0,3
Adri Electronics,0,3,0,3
smaller ears.<br,0,3,0,3
Aegir CPU cooler<br />Samsung OEM DVD-RW<br />NZXT Sentry Mesh,0,3,0,3
"light, pocket size",0,0,3,3
"light, intended usage",3,0,0,3
light.<br /><br />Only complaint,0,0,3,3
Very good speakers,0,0,3,3
Very good speaker sound,0,0,3,3
bluetooth ability,3,0,0,3
light weight monitor,0,0,3,3
light weight color,0,0,3,3
Its a cute little camera/motion detector,0,0,3,3
light and super fast!<br,0,0,3,3
any existing NVR system,0,0,3,3
any embedded (internal) memory,0,3,0,3
"small, compact, low-price",0,3,0,3
"small, clear video",0,0,3,3
"small, cheap, picture quality",0,0,3,3
bluethooth application,0,0,3,3
blue-tooth headphones,0,0,3,3
Very good resolution,0,0,3,3
lighter apliances,0,0,3,3
Ipod Touches,0,3,0,3
Ithe batteries,3,0,0,3
Iphone4s,0,3,0,3
Iphone11,3,0,0,3
small tools,0,2,1,3
small size.<br,3,0,0,3
Alacrity IoT,0,3,0,3
Alexa/Siri,0,0,3,3
small motor,3,0,0,3
small piece,0,3,0,3
All 6 Camera,3,0,0,3
All 3 camera,3,0,0,3
Ipad Mini,0,2,1,3
Ipad & drone control unit,0,3,0,3
Iphone charger cable,0,0,3,3
Ipad air 2.<br />2,0,0,3,3
lightness/size,0,0,3,3
lighting aesthetics,0,0,3,3
lightweight and good coverage,0,0,3,3
any fancy features,0,0,3,3
small part,3,0,0,3
small footprint keyboards,3,0,0,3
small eyeglasses,0,3,0,3
small enough screens,0,3,0,3
small gadgets,0,2,1,3
All DVD recorder,3,0,0,3
All additional services(AICloud and USB applications,3,0,0,3
Internal battery,0,3,0,3
blue tooth connectivity,0,0,3,3
blue ray / xbox / receiver,0,3,0,3
"like, a digital photo frame",0,3,0,3
lightweight.<br />All,0,0,3,3
Internet based tech companies,3,0,0,3
"Intuitive, easy design",3,0,0,3
All accessories,0,1,2,3
small defects,3,0,0,3
small cover,3,0,0,3
any formal testing,3,0,0,3
about 48GB,0,1,2,3
small comfort design,0,0,3,3
small applications,0,1,2,3
All in all about 4-5 speakers,0,3,0,3
small and high quality.<br,0,0,3,3
lite-weight,0,2,1,3
little amp,1,0,2,3
Intel/Crucial,0,0,3,3
Intel's most recent adapter,0,3,0,3
Intelligent tracking,0,3,0,3
Internet READY Blue Ray,0,0,3,3
linksys tech support,3,0,0,3
about 5 hours battery life,0,3,0,3
All my blink cameras,0,3,0,3
All my usb ports,0,3,0,3
slim and light weight,0,2,1,3
"slim, wall-hugging plugs",0,3,0,3
blitzsafe iPod adapter,0,0,3,3
blinkproof feature,0,0,3,3
little emulation PC,0,0,3,3
little joystick control,0,0,3,3
Intel chips,0,2,1,3
Intel engineers,3,0,0,3
little Gadget,0,0,3,3
little CPU's or Ram sticks,0,3,0,3
little ear buds,0,0,3,3
little customizations,3,0,0,3
little cords,1,1,1,3
slightly inferior quality,3,0,0,3
any glossy surface,0,0,3,3
any high-end or premium vibes,3,0,0,3
slightly better image quality,0,0,3,3
slick looking,3,0,0,3
sleep quality,0,3,0,3
Individual charging slots,0,3,0,3
bitrate,3,0,0,3
Very great quality,0,0,3,3
local station apps,3,0,0,3
load speeds,3,0,0,3
live traffic features,0,3,0,3
logitech's sucky software,0,3,0,3
long chargers,2,0,1,3
long charge life,0,0,3,3
Very high quality sound,0,0,3,3
bigger phones,1,2,0,3
local storage.<br />-The Blink app,3,0,0,3
logitec software,3,0,0,3
location-based activation,0,3,0,3
local computer speakers,0,3,0,3
location devices,0,3,0,3
location codes,0,3,0,3
locally storage,3,0,0,3
All other ports,0,0,3,3
All other memory cards,0,0,3,3
about 3gbs,0,3,0,3
about 45 - 50 MB/s,0,3,0,3
sleek new case,0,3,0,3
"sleek, modern and unique design",0,0,3,3
slave monitor,3,0,0,3
size batteries,0,3,0,3
any home security app,3,0,0,3
about 4 tiny little screws,0,3,0,3
any higher build materials,3,0,0,3
six useless cameras,3,0,0,3
sites/reviews,3,0,0,3
site description,3,0,0,3
single devices,0,3,0,3
lossless storage,0,3,0,3
bigger bezels,0,3,0,3
Included speakers,0,3,0,3
long life battery,0,0,3,3
Incredible headset,0,0,3,3
Incredible video card.<br,0,0,3,3
All the component,0,0,3,3
simply the improved foam earbuds,0,0,3,3
any internal memory,0,3,0,3
simple user interface,0,0,3,3
All the other cameras,1,2,0,3
simple desktop workloads,3,0,0,3
simple apps,2,1,0,3
simple and easy controls.<br,3,0,0,3
simple Wireless,0,0,3,3
simple USB network adapters,0,0,3,3
IPhone and Redmi(Android system,3,0,0,3
big size,0,1,2,3
low and quality matches,3,0,0,3
"IT'S OWN"" feature",0,3,0,3
IdeaPad 3 Gaming,3,0,0,3
Impressive iA/AUTO feature,0,0,3,3
loud keystrokes,0,3,0,3
loud and crisp sound,0,0,3,3
All the wireless devices,0,0,3,3
All the other pieces,3,0,0,3
any iPad or iPhone device,0,3,0,3
any issues.<br /><br />The battery,0,3,0,3
any internet data,3,0,0,3
similar stylus,3,0,0,3
similar performance.<br /><br />Sequential large file performance,0,3,0,3
IC Technology&#34,0,0,3,3
IEC,0,3,0,3
low quality projections,3,0,0,3
low quality phono amp)<br,0,3,0,3
IN-USB2)]]We,0,3,0,3
low quality components,3,0,0,3
low controls,0,3,0,3
INTEL's optics,0,3,0,3
IR functionality,1,2,0,3
IPhone 12 Pro M.<br />The device,0,3,0,3
All three ports,0,0,3,3
any laptop camera,0,0,3,3
any lagging issues,0,3,0,3
similar headphones,0,1,2,3
similar hardware,0,3,0,3
similar designs.<br,3,0,0,3
Almost all the filters,3,0,0,3
Also a really good battery life,0,0,3,3
Hours Playback&#34,3,0,0,3
Huge capacity,0,1,2,3
Hspro earbuds,3,0,0,3
I device manager,0,3,0,3
I play)<br />Mic detection,0,0,3,3
low travel distance keyboards,3,0,0,3
low-profile keyboards,0,3,0,3
low-profile design<br /><br />convenient storage capacity,3,0,0,3
similar device,0,0,3,3
similar USB device,0,3,0,3
similar (if not better) detail,0,3,0,3
silicone ear buds,0,0,3,3
Also optimized timings,0,3,0,3
Also the size,0,0,3,3
"Also,<br />no CD/DVD recorder",0,3,0,3
signal processing,0,2,1,3
mainly ASUS gear,0,0,3,3
major components,3,0,0,3
Very limited customization,3,0,0,3
main component,3,0,0,3
main drives,0,3,0,3
"However, a decent monitor",0,0,3,3
Housing quality,0,0,3,3
side USB port,0,0,3,3
Amazing Headphones,0,0,3,3
Always worse quality,3,0,0,3
about 3 gb,0,3,0,3
about 3 GB,0,3,0,3
short circuits,3,0,0,3
sharpness contrast,0,3,0,3
Amazing charger,0,0,3,3
manufacturer's logo,0,3,0,3
Hikvision's 430MB app,0,3,0,3
major tech innovations,0,0,3,3
major storage,0,0,3,3
major appliances,0,1,2,3
His ipad battery,0,3,0,3
Amazing motherboard,0,0,3,3
sharp sounds,0,3,0,3
any linksys cams,3,0,0,3
any magnetic feature,0,0,3,3
any mid-range laptop,0,3,0,3
several “true wireless earbuds,3,0,0,3
many actual camcorders,0,0,3,3
many Blackberry's the usb charger,3,0,0,3
better video protection,0,0,3,3
"Very lightweight, super easy install",0,0,3,3
Very low quality images,3,0,0,3
Very low power charge,3,0,0,3
better wireless headsets,3,0,0,3
better wireless earbuds,3,0,0,3
better wireless coverage,0,0,3,3
High quality cheap cameras,3,0,0,3
High quality microphone array,0,0,3,3
many a wireless network,0,3,0,3
many a CD player,3,0,0,3
many Web cams,0,3,0,3
several year old ssds,0,3,0,3
about 200 GBs,0,3,0,3
about 25-35% smaller then a regular mouse,0,3,0,3
about 25 gadgets,0,3,0,3
any menus,1,2,0,3
any memory card,3,0,0,3
any media player,0,2,1,3
several styles,0,0,3,3
several purposes,0,3,0,3
Amazon Basic's wireless mouse,0,3,0,3
"Amazingly small, basically a paperback book",0,0,3,3
many different size earbuds,0,0,3,3
many different USB,1,0,2,3
High quality build,0,0,3,3
many common devices,0,3,0,3
several replacement screens,0,3,0,3
several remotes,0,2,1,3
several reviews.<br />It,0,3,0,3
several other outlets,0,3,0,3
Amazon brand camera,0,3,0,3
Amazon ST500DM002,0,3,0,3
several logitech,0,3,0,3
several indispensable accessories,0,0,3,3
Amazon's battery life,3,0,0,3
many favorable reviews,3,0,0,3
better touch typing skills,3,0,0,3
better wifi,0,0,3,3
better web cams,0,3,0,3
many gigs,3,0,0,3
many different switches,3,0,0,3
many different ear buds,0,2,1,3
Amazons quality,3,0,0,3
any mobile device,0,0,3,3
several fresh batteries,0,3,0,3
Amazon's storage costs,0,3,0,3
several ear buds,1,0,2,3
several ear,3,0,0,3
several different laptops,3,0,0,3
many other remotes,0,3,0,3
many other consumer electronics,0,1,2,3
Headsphone quality,3,0,0,3
many other MP3 players,0,0,3,3
many important recording sessions,3,0,0,3
many many builds,0,0,3,3
many machines,3,0,0,3
several different charging blocks,3,0,0,3
several different charger/cable combinations,0,3,0,3
about 20 charging cycle,3,0,0,3
several different Apple devices,0,0,3,3
several cheap APs,0,3,0,3
Handy device,0,0,3,3
many rough surfaces,0,3,0,3
many programmable channels,3,0,0,3
many other speakers,0,0,3,3
many other similar adapters,0,3,0,3
many other portables,0,3,0,3
Hard drive case,0,3,0,3
many other manuals,0,0,3,3
many other laptops,1,1,1,3
HP z15.<br,0,0,3,3
HS50s,0,3,0,3
many video reviews,0,3,0,3
"many, many other speakers",0,3,0,3
HR/pulse,3,0,0,3
many video cards,0,3,0,3
Half the USB ports,3,0,0,3
Half my new computer,0,3,0,3
many stand-alone video cameras,0,0,3,3
several bluetooth devices,0,0,3,3
And not really nice sound,3,0,0,3
several batteries.<br,0,3,0,3
any new model,0,3,0,3
any new machine,0,3,0,3
And no motion detection,3,0,0,3
several aspects:<br,0,0,3,3
several GB,0,3,0,3
any other $2000 portable computer,0,0,3,3
seven compatible device,0,3,0,3
And why does the recording,3,0,0,3
Android Media Players,0,3,0,3
Android Jelly Bean,0,3,0,3
"serial no + part number, unit",0,3,0,3
server workloads,0,3,0,3
seriuosly cd players,3,0,0,3
separate headphone and mic cords,3,0,0,3
better security cameras,3,0,0,3
better sound AND docking options,0,0,3,3
HP MediaSmart,3,0,0,3
HP devices,3,0,0,3
matching quality,0,0,3,3
massive storage,0,0,3,3
market parts,3,0,0,3
market cables,0,2,1,3
sensor&#34,2,1,0,3
Android tablet,0,1,2,3
any old analog monitor,0,3,0,3
any other Asus APs,3,0,0,3
any other Amazon AirPod case,0,3,0,3
Anker batteries,3,0,0,3
self-powered devices,0,3,0,3
security monitor,0,0,3,3
maybe an outer and inner pocket,0,0,3,3
better recorders,0,3,0,3
better quality stands,0,3,0,3
HDTVs,0,1,2,3
media QoS settings,0,3,0,3
better quality or faster system,0,3,0,3
better quality camera,0,3,0,3
HD720,3,0,0,3
HDMI capture quality,0,0,3,3
HDMI and Component Video,0,3,0,3
maybe an UPGRADED 550 mAh version,0,3,0,3
maybe a baby monitor,0,3,0,3
about 100% sound quality,0,3,0,3
about 100 Mbs,0,3,0,3
any other 250 gb,0,0,3,3
security and safety monitoring.<br,0,3,0,3
secondary/nearline storage,0,3,0,3
second or third batteries,3,0,0,3
seamless wi-fi,0,3,0,3
screw portion,3,0,0,3
sdx,0,3,0,3
HD streaming,0,1,2,3
Very nice high resolution player,0,0,3,3
HD resolutions,0,0,3,3
HD video cameras,0,3,0,3
HD10,0,3,0,3
any other NAS device,0,0,3,3
screws.<br />AC cord,0,0,3,3
Anker's software,0,3,0,3
Anker’s products,0,0,3,3
Another wireless cable,0,3,0,3
memory chip,2,0,1,3
better pixels,0,0,3,3
Gui,3,0,0,3
medium power,0,2,1,3
"mega-optical-zoom, point-and-shoot that",0,3,0,3
HD (1080/1020) resolution,3,0,0,3
HD recordings,0,0,3,3
metal piece,0,3,0,3
better overall image quality,0,0,3,3
metal housing,0,0,3,3
metal case,0,1,2,3
metric and USA units,0,3,0,3
metal/stainless steel bracket,0,0,3,3
metal part,3,0,0,3
memory-challenged devices,0,3,0,3
memory modules,1,1,1,3
about 1-1.5 GB,0,0,3,3
about 100 MB/s,0,0,3,3
Any Batteries,0,3,0,3
Any mouse,3,0,0,3
Any monitor,3,0,0,3
Another quality product,0,0,3,3
school computers,0,1,2,3
mice pads,0,3,0,3
mic sd,3,0,0,3
better manufactured quality,0,0,3,3
mic plug,0,3,0,3
mi iPad,0,3,0,3
mic and sound mute options,0,3,0,3
metal tabs,2,1,0,3
metal screwdrivers,3,0,0,3
any other adaptor,3,0,0,3
any other Wear OS,0,3,0,3
any other bluetooth earbuds,0,3,0,3
screaming quality,0,0,3,3
Any standard,0,3,0,3
Apple Brand,3,0,0,3
Apple Mac Machines,3,0,0,3
scavenged parts,0,3,0,3
Apple IPODs,3,0,0,3
Apple Magic Keyboard / Trackpad user,0,0,3,3
any other battery,0,2,1,3
same quality connectors,3,0,0,3
samsung s4,0,0,3,3
same devices,3,0,0,3
micros,0,2,1,3
millamp-Hours,0,0,3,3
Great sturdy speakers,0,0,3,3
microphones.<br />DO,3,0,0,3
microphone side,0,3,0,3
microphone mute,0,3,0,3
mic cord,0,0,3,3
Great sounding system,0,0,3,3
better low light performance,0,0,3,3
Very nice little stand,0,0,3,3
min. 120 gigs,3,0,0,3
Great stereo sound,0,0,3,3
Great starter camera,0,0,3,3
mini Camera,0,3,0,3
Great to run around with but not a very good picture quality,3,0,0,3
mid-range phone,0,0,3,3
microsoft tablet,0,3,0,3
Apple care.<br />Don’t waste time,3,0,0,3
same speaker unit,0,3,0,3
any other camera brands,3,0,0,3
any other devices.<br,0,0,3,3
same phone/app,0,3,0,3
Apple cable,1,0,2,3
Apple branded cables.<br,0,0,3,3
Apple ones,0,0,3,3
Apple oem,0,3,0,3
safe storage,0,2,1,3
said thumb drive,0,3,0,3
a) recording,0,3,0,3
s features,0,0,3,3
rubber earbuds,0,3,0,3
roughly 750MB,0,3,0,3
Very nice router,0,0,3,3
better durability.<br />-Built,0,0,3,3
minimal lag.<br,0,0,3,3
minimal cords,0,3,0,3
minimal buttons,0,1,2,3
minimal bending,3,0,0,3
minimal and careful use,3,0,0,3
mini-ITX builders,0,0,3,3
model N600,0,3,0,3
Very nice soundbar,0,0,3,3
Great sound - Battery Life,0,0,3,3
mobile computing installation,3,0,0,3
mobile gaming,0,0,3,3
mist headphones,3,0,0,3
mirco sd cards,0,3,0,3
minor typing areas,0,0,3,3
Great sounding earphones,0,0,3,3
any other earphones,0,2,1,3
robust features,0,0,3,3
roughly 10-12% battery use,0,3,0,3
room monitoring,3,0,0,3
robotic sounds,3,0,0,3
robotic sounding,0,3,0,3
Apple's goons,3,0,0,3
modern routers,2,0,1,3
better camera system,0,0,3,3
better digital cameras,0,3,0,3
Great scanner,0,0,3,3
modern aesthetics,0,3,0,3
modern SD cards,3,0,0,3
mobile versions,0,3,0,3
Apple's design team,0,0,3,3
Apple's own keyboard,0,3,0,3
Apple's offering,0,0,3,3
a-part,0,3,0,3
a-d (assembly parts,0,3,0,3
any other functionality,3,0,0,3
any other feature,3,0,0,3
rich audio,0,0,3,3
rgb 3600mhz ram,0,0,3,3
rf connection,0,3,0,3
reviews!<br,0,0,3,3
more Internet functionality,0,3,0,3
better amplifier,0,0,3,3
better battery/processor,0,0,3,3
Great ram,0,0,3,3
monitor size,0,2,1,3
Great screen protectors,0,0,3,3
modest quality low light photo,0,3,0,3
modern tech,3,0,0,3
Apple-**except,0,3,0,3
Apple’s case durability,0,0,3,3
any other inputs,3,0,0,3
any other monitoring cameras,3,0,0,3
respectable tech,0,0,3,3
Arduino projects,0,0,3,3
replacement junk,3,0,0,3
Arduino accessories,0,0,3,3
Are software,0,3,0,3
Asus CM1831 computer systems,0,3,0,3
Asus A55Bm-E,3,0,0,3
remote adapter,0,0,3,3
reliable wifi service,3,0,0,3
reliable wi-fi,3,0,0,3
reliable ports,0,0,3,3
reliable performance,0,1,2,3
Asus product,3,0,0,3
reliable connection,0,0,3,3
relatively slim and light.<br />-The weight,0,0,3,3
reliable new HP workstation,0,3,0,3
more basic mice,0,0,3,3
more and more devices,2,0,1,3
more aesthetic appeal,0,0,3,3
more SSIDs,0,3,0,3
more HD channels,0,1,2,3
more Display saturation,0,3,0,3
more USB A ports,0,3,0,3
more (2 batteries,0,3,0,3
reliable internet,3,0,0,3
Asus laptop,0,0,3,3
"relatively large, closed ear cup headphones",0,0,3,3
relatively heavy speakers,3,0,0,3
reliable APs,0,3,0,3
reguler charge speed,0,3,0,3
At least the mouse,0,3,0,3
At least its a cool looking $200.00 paper weight,0,3,0,3
regular battery,0,3,0,3
regular keyboard,0,1,2,3
more convenient connection,0,3,0,3
better SSD,3,0,0,3
better SD card,0,0,3,3
more camera,0,2,1,3
more battery life.<br,0,0,3,3
regular charge cord,0,3,0,3
regular carbon batteries,0,3,0,3
recording capability,0,1,2,3
recordable buttons,0,0,3,3
recharges.<br,0,0,3,3
recording and motion detection functionality,0,3,0,3
recognize device list,0,3,0,3
more harsh sounding speakers,0,3,0,3
Very poor &#34;Tinny&#34; Sound,3,0,0,3
more expensive transmitters,3,0,0,3
more fake apple praise,3,0,0,3
more expensive hardware,3,0,0,3
Great quality construction,0,0,3,3
more designs,1,0,2,3
Avoid Quality,3,0,0,3
Avg/Max Speed,0,3,0,3
Avg Speed/Pace,0,3,0,3
any other storage devices,3,0,0,3
[[VIDEOID:39fd879f59bc64790998beaa47821ae3]] Updated (4 Star) Review,0,3,0,3
[[VIDEOID:378d336e4c53b58e15a881e0c28c880]] Poor quality control,3,0,0,3
[[VIDEOID:35a5a9989a3e3434116979dc3e26c784]] Not a good first impression,3,0,0,3
recharged.<br,0,2,1,3
rechargeable units,0,0,3,3
Awesome Bass and battery life,0,0,3,3
Aweful quality,0,0,3,3
Aweful product,3,0,0,3
Awesome backpack,0,0,3,3
more portable.<br,0,2,1,3
Great portability - Good purchase,0,0,3,3
more measures,0,3,0,3
more obvious earphones,0,3,0,3
more media.<br /><br />The,0,3,0,3
more modern devices,0,3,0,3
recent Firmware updates,0,0,3,3
any other wifi connections,0,3,0,3
reasonably small ears,3,0,0,3
reasonably quick access,0,3,0,3
Awesome chargers,0,0,3,3
reasonably clear sound,0,0,3,3
Awesome cables,0,0,3,3
more rugged use,3,0,0,3
more robust zipper,3,0,0,3
more replacement devices,3,0,0,3
more recording time,0,1,2,3
Great pic quality,0,0,3,3
Great portable hard drive,0,0,3,3
Great portable drive,0,0,3,3
reasonable resolution,0,0,3,3
any other unit,0,1,2,3
Zero battery life,3,0,0,3
Awesome earphone,0,0,3,3
really thick material and metal hardware,3,0,0,3
really lightweight plastic,3,0,0,3
more than 32gb,0,3,0,3
best phone,0,0,3,3
more than 4 buttons,0,3,0,3
more than 1Mb throughput,3,0,0,3
more styles,0,0,3,3
more specifically the phone,3,0,0,3
more snappy performance,0,0,3,3
more than one display devices,0,3,0,3
best hdd company,0,0,3,3
more than one battery,0,3,0,3
more than one USB C charge port,0,3,0,3
more than two devices,3,0,0,3
more than 30secs,3,0,0,3
more than 64 GB,3,0,0,3
really high quality pictures,0,3,0,3
really nice screen,0,0,3,3
[[ASIN:B0009JKN3Q SVAT GX5200 Wireless Color Indoor LCD Handheld Monitor,0,3,0,3
[SSi]<br />DRIVE 4 -  62.4GiB Generic Mass-Storage<br />FFT - Quick Size Test,3,0,0,3
really great camera,0,0,3,3
really high performance,0,0,3,3
Awful battery life,3,0,0,3
really fast response time,0,0,3,3
really good balanced sound,0,0,3,3
"really fun, cool designs",0,0,3,3
most ATX power,0,3,0,3
most 3rd-party cables.<br,0,0,3,3
more “productivity,0,3,0,3
most Apple products,0,1,2,3
Great little headphones,0,0,3,3
Great little security camera,0,0,3,3
Great little soundbar,0,0,3,3
more than one equipment,0,3,0,3
real-time tracking,0,3,0,3
real-time basic.<br />So - No - Real use,3,0,0,3
"real-time, WI-FI mode",0,3,0,3
real monitors,0,3,0,3
B015WCV70W HP Pavilion,0,3,0,3
real quality,0,3,0,3
real Motorola,0,3,0,3
most apps.<br,0,0,3,3
best advertisement,3,0,0,3
most and key pads,0,0,3,3
Great laptop sleeve,0,0,3,3
Great little dash cam,0,0,3,3
Great little computer,0,0,3,3
BASIC computing needs,0,0,3,3
Z170A KRAIT GAMING,0,3,0,3
razors  headphones,0,3,0,3
read/write capabilities,0,3,0,3
rapid front USB,0,0,3,3
BIOS settings,1,2,0,3
most dashboards,0,0,3,3
most dash cam units,0,3,0,3
most current firmware,0,3,0,3
best cables,0,0,3,3
Great ipad case,0,0,3,3
most camera manufacturers,0,3,0,3
Great keyboard/mouse combo,0,0,3,3
ZS3 batteries,3,0,0,3
any power save modes,0,3,0,3
radios de estos y ninguno ha funcionado,0,3,0,3
BOSE QC35,0,3,0,3
quite thick and heavy duty,0,0,3,3
below-average sound quality,3,0,0,3
most high-tech companies,3,0,0,3
Great full-size wireless keyboard,0,0,3,3
Great full range sound,0,0,3,3
most other low-cost headphones,0,0,3,3
Very responsive keyboard,0,0,3,3
most other devices,0,2,1,3
Great daytime quality,0,0,3,3
most other camera systems,0,3,0,3
most other Keyboard/Cases,0,0,3,3
most other high-end smartphones,0,3,0,3
most notebooks,0,3,0,3
most multi-media content,0,3,0,3
most movie audio,0,3,0,3
any power outlet,0,3,0,3
any proprietary programs)<br /><br />Intuitive & friendly GUI<br /><br />Unit design,0,3,0,3
Yi 1080p home camera,0,0,3,3
any product review,3,0,0,3
Barebones,0,0,3,3
Bandwidth usage stats,0,0,3,3
BUILT-IN OUTLET,3,0,0,3
Bad quality assurance,3,0,0,3
quite the battery life,0,0,3,3
quite portable and string bag,0,0,3,3
Great chromebook,0,0,3,3
most remote controls,3,0,0,3
most single-device,0,3,0,3
Great charge cable,0,0,3,3
most security cameras,0,3,0,3
most popular motherboards,3,0,0,3
Great connection phone,0,0,3,3
quite light weight,0,3,0,3
quite honestly a new subwoofer,3,0,0,3
any quick resolution,3,0,0,3
any quality improvement,0,3,0,3
quite generous storage capacity,0,0,3,3
most video conferencing downscales,0,3,0,3
most wireless dongles,0,0,3,3
beautiful screen,0,0,3,3
most technology,3,0,0,3
Great camera backpack,0,0,3,3
most speaker functions,3,0,0,3
most smartphones,0,0,3,3
quite a few Foscam cameras,0,1,2,3
Yahoo Maps,0,3,0,3
any robots,0,3,0,3
Battery Life<br /><br />Cons:<br />Mild discomfort,0,0,3,3
Battery dors,0,3,0,3
quiet and nice tactile quality,0,0,3,3
quiet and absolutely no bass,3,0,0,3
quicker set-up,0,3,0,3
Battery rechargers,0,3,0,3
quick connection,0,1,2,3
motherboard.<br />The,0,3,0,3
motherboard tray,0,3,0,3
motion playbacks,0,3,0,3
beautiful and excellent quality,0,0,3,3
beautiful headphones,0,0,3,3
mostly plastic,0,0,3,3
mostly no sound,0,3,0,3
Great build quality/.,0,0,3,3
any remote storage,3,0,0,3
any remaining distortion,0,3,0,3
any regular keyboard.<br />I,3,0,0,3
quede muy insatisfecho con el producto,0,3,0,3
Battery wear,0,3,0,3
quick DPI,0,3,0,3
Beach Cameras,0,3,0,3
Beautiful but ordinary cable,3,0,0,3
mouse jigglers,0,3,0,3
mouse wheel,0,3,0,3
Great amplifier,0,0,3,3
motion sensor fields,0,3,0,3
mount accessory,0,3,0,3
mouse chords,3,0,0,3
moto X,3,0,0,3
motion detection capabilities,0,0,3,3
motorola ISP modem,3,0,0,3
Beautiful graphics,0,0,3,3
XPS laptops,0,3,0,3
XP systems,3,0,0,3
any safety features,3,0,0,3
quality standards,3,0,0,3
quality pieces,1,0,2,3
battery)<br />Size,0,3,0,3
battery).<br,3,0,0,3
bearable battery life,0,3,0,3
beautiful clarity,0,0,3,3
beautiful and very detailed pictures,0,0,3,3
mousing/tracking component,0,3,0,3
mouse/phone etc,0,0,3,3
Great Speakers,0,0,3,3
any round shaped headphones,0,3,0,3
any significant differences,0,3,0,3
any side buttons,3,0,0,3
any sensitive circuits,0,3,0,3
Beautiful quality,0,0,3,3
quality photographic films,3,0,0,3
quality glass,0,0,3,3
quality monitors,3,0,0,3
Belkin Wireless,0,3,0,3
Very satisfied key board,0,0,3,3
much better reviews,3,0,0,3
much better BT headphones,0,3,0,3
much beteer battery life,0,0,3,3
Great SD card,0,0,3,3
any sized keyboard,0,0,3,3
Best audio cable,0,0,3,3
pure Audio,0,0,3,3
much electrical buzz,0,3,0,3
battery% display,3,0,0,3
battery use time,0,3,0,3
battery usage too.<br,0,0,3,3
battery/card<br,0,0,3,3
battery-only playtime,0,3,0,3
much documentation,3,0,0,3
much cheaper beep /signal type devices,0,3,0,3
much camera,0,3,0,3
much more flexible and much better quality,0,0,3,3
Graphic design,3,0,0,3
much louder.<br /> - Good Bluetooth,0,3,0,3
much faster connections,0,0,3,3
protection.<br />The cellphone pocket,0,0,3,3
Xbox one controller,0,0,3,3
Xbox controllers.<br,0,0,3,3
Best dash cam,0,0,3,3
proprietary parts,3,0,0,3
Best computer,0,0,3,3
Best charging cable,0,0,3,3
Best chargers,0,0,3,3
Gorgeous 2k display,0,0,3,3
GoogleTV)<br,0,3,0,3
Google's software,0,0,3,3
much technical help,3,0,0,3
Gorgeous screen,0,0,3,3
much size,0,1,2,3
much screen,3,0,0,3
much thinner and cheaper plastic,0,0,3,3
"much older, more sturdy models",3,0,0,3
Gorgeous looking bag,0,0,3,3
much more advanced headsets,0,3,0,3
Best external hard drive,0,0,3,3
proper charger,0,3,0,3
proper quality,0,0,3,3
project sound,3,0,0,3
Best device,0,0,3,3
professional memory cards,0,3,0,3
Best gaming mouse,0,0,3,3
Best noise,0,0,3,3
"Good-looking, small simple case",0,0,3,3
multiple charging ports,0,0,3,3
battery reading,0,0,3,3
Very small lightweight,0,0,3,3
multiple charge cords,3,0,0,3
Google Keyboard,0,0,3,3
Google Home app,0,3,0,3
multi device use,0,3,0,3
Google Play movies,0,3,0,3
productive.<br /><br />The only feature,0,0,3,3
Wristband,0,3,0,3
production factory inspections,3,0,0,3
product review,1,1,1,3
Best performance,0,0,3,3
product capability/quality,3,0,0,3
product sound quality,3,0,0,3
processing sounds,0,0,3,3
Best picture quality,0,0,3,3
Good widescreen frame,0,0,3,3
multiple gadgets,1,1,1,3
